albumartist; albumtitle

Al Di Meola; Elegant Gipsy
Barry White; Change
Betty Wright; Travelin' In The Circle
Billy Joel; An Innocent Man
Billy Joel; The Nylon Curtain
Blind Faith; That's Blind Faith
Cinderella; Night Songs
Cock Robin; Cock Robin
Culture Club; Colour By Numbers
Daryl Hall; Three Hearts In The Happy Ending Machine
David Essex; All The Fun Of The Fair
David Essex; David Essex
David Essex; Rock On
Dean Martin; 20 Original Dean Martin Hits
Diana Ross; All The Great Hits
Eric Clapton; Eric Clapton Pop Giants Vol. 7
Eric Clapton; Just One Night
Europe; Out Of This World
Fleetwood Mac And Christin Perfect; Albatross
Fleetwood Mac; Mirage
Fleetwood Mac; Tango In The Night
Frampton's Camel; Frampton's Camel
Garland Jeffreys; American Boy & Girl
Gary Wright; The Dreamweaver
Gerry Rafferty; City To City
Heart; Brigade
Heart; Heart
Huey Lewis & The News; Fore!
Janne Schaffer; Presens
Jim Steinman; Bad For Good
Jimmie Spheeris; The Dragon Is Dancing
Joe Cocker; Civilized Man
Joe Cocker; Cocker
Joe Cocker; Unchain My Heart
John Paul Young; Love Is In The Air
Jon Bon Jovi; Blaze Of Glory
Meat Loaf; Bat Out Of Hell
Michael Murphey; Lone Wolf
Miguel Bose; Chicas!
Mike Oldfield; Crises
Molly Hatchet; Take No Prisoners
Pablo Cruise; A Place In The Sun
Pablo Cruise; Worlds Away
Paul Anka; Just Young
Paul Anka; The Lonely Boy
Paul Anka; The Original Hits Of Paul Anka
Paul Anka; The Original Hits Of Paul Anka, Volume 2
Peter Frampton; I'm In You
Peter Hofmann; Peter Hofmann 2 Ivory Man ~ Songs & Ballads
Peter Hofmann; Rock Classics
Peter Hofmann; Rock Classics 2
Pink Floyd; The Wall
Pretenders; Pretenders
Ramsey Lewis; Don't It Feel Good
Ray Charles; Ray Charles
Rick Wakeman's; Criminal Report
Rod Stewart; Body Wishes
Rod Stewart; Twistin' The Night Away
Shakin' Stevens; Give Me Your Heart Tonight
Shakin' Stevens; Greatest Hits
Shakin' Stevens; Hot Dog
Shakin' Stevens; Lipstick Powder + Paint
Shakin' Stevens; Shaky
Shakin' Stevens; The Bob Won't Stop
Shakin' Stevens; This Ole House
Small Faces; Die Grossen Erfolge Einer Supergruppe
The Byrds; The Golden Era Of Pop Music
The Christians, Paul McCartney; Ferry Cross The Mersey
The Steve Miller Band; Circle Of Love
The Three Degrees; The Three Degrees Live
The Weather Girls; Big Girls Don't Cry
Three Dog Night; Pop Gold
Tim Curry; Fearless
Tina Turner; Break Every Rule
Tina Turner; Private Dancer
Tina Turner; Tina Live In Europe
VA; 20 Top Speed Hits
VA; 40 Golden Hits
VA; Country Stars And Hits
VA; Dirty Dancing
VA; Easy Rider - Born On The Road
VA; More Dirty Dancing
VA; Smash Hits
VA; Soul Meeting
VA; That's Soul
VA; The Explosion Of Rock 'N Roll
Vaya Con Dios; Night Owls
Wham!; Make It Big
Wham!; Wham!
Wilson Picketts; Wilson Pickett's Greatest Hits
